areaCode,areaName,areaType,date,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000001,North East,region,20/09/2021,920
E12000001,North East,region,19/09/2021,11
E12000001,North East,region,18/09/2021,252
E12000001,North East,region,17/09/2021,98
E12000001,North East,region,16/09/2021,169
E12000001,North East,region,15/09/2021,105
E12000001,North East,region,14/09/2021,29
E12000001,North East,region,13/09/2021,5
E12000001,North East,region,12/09/2021,2
E12000001,North East,region,11/09/2021,38
E12000001,North East,region,10/09/2021,10
E12000001,North East,region,09/09/2021,2
E12000001,North East,region,08/09/2021,3
E12000001,North East,region,07/09/2021,2
E12000001,North East,region,06/09/2021,1
E12000001,North East,region,05/09/2021,1
E12000001,North East,region,04/09/2021,1
E12000001,North East,region,03/09/2021,3
E12000001,North East,region,02/09/2021,5
E12000001,North East,region,01/09/2021,2
E12000001,North East,region,31/08/2021,11
E12000001,North East,region,30/08/2021,3
E12000001,North East,region,29/08/2021,0
E12000001,North East,region,28/08/2021,1
E12000001,North East,region,27/08/2021,3
E12000001,North East,region,26/08/2021,4
E12000001,North East,region,25/08/2021,4
E12000001,North East,region,24/08/2021,2
E12000001,North East,region,23/08/2021,1
E12000001,North East,region,22/08/2021,2
E12000001,North East,region,21/08/2021,3
E12000001,North East,region,20/08/2021,1
E12000001,North East,region,19/08/2021,6
E12000001,North East,region,18/08/2021,1
E12000001,North East,region,17/08/2021,4
E12000001,North East,region,16/08/2021,3
E12000001,North East,region,15/08/2021,2
E12000001,North East,region,14/08/2021,0
E12000001,North East,region,13/08/2021,2
E12000001,North East,region,12/08/2021,2
E12000001,North East,region,11/08/2021,3
E12000001,North East,region,10/08/2021,1
E12000001,North East,region,09/08/2021,0
E12000001,North East,region,08/08/2021,0
E12000001,North East,region,07/08/2021,0
E12000001,North East,region,06/08/2021,3
E12000001,North East,region,05/08/2021,1
E12000001,North East,region,04/08/2021,2
E12000001,North East,region,03/08/2021,3
E12000001,North East,region,02/08/2021,0
E12000001,North East,region,01/08/2021,2
E12000001,North East,region,31/07/2021,1
E12000001,North East,region,30/07/2021,1
E12000001,North East,region,29/07/2021,5
E12000001,North East,region,28/07/2021,2
E12000001,North East,region,27/07/2021,1
E12000001,North East,region,26/07/2021,1
E12000001,North East,region,25/07/2021,4
E12000001,North East,region,24/07/2021,1
E12000001,North East,region,23/07/2021,5
E12000001,North East,region,22/07/2021,4
E12000001,North East,region,21/07/2021,0
E12000001,North East,region,20/07/2021,2
E12000001,North East,region,19/07/2021,1
E12000001,North East,region,18/07/2021,1
E12000001,North East,region,17/07/2021,0
E12000001,North East,region,16/07/2021,2
E12000001,North East,region,15/07/2021,3
E12000001,North East,region,14/07/2021,2
E12000001,North East,region,13/07/2021,3
E12000001,North East,region,12/07/2021,1
E12000001,North East,region,11/07/2021,1
E12000001,North East,region,10/07/2021,4
E12000001,North East,region,09/07/2021,26
E12000001,North East,region,08/07/2021,18
E12000001,North East,region,07/07/2021,20
E12000001,North East,region,06/07/2021,1
E12000001,North East,region,05/07/2021,0
E12000001,North East,region,04/07/2021,2
E12000001,North East,region,03/07/2021,3
E12000001,North East,region,02/07/2021,8
E12000001,North East,region,01/07/2021,5
E12000001,North East,region,30/06/2021,1
E12000001,North East,region,29/06/2021,1
E12000001,North East,region,28/06/2021,0
E12000001,North East,region,27/06/2021,3
E12000001,North East,region,26/06/2021,4
E12000001,North East,region,25/06/2021,3
E12000001,North East,region,24/06/2021,3
E12000001,North East,region,23/06/2021,1
E12000001,North East,region,22/06/2021,3
E12000001,North East,region,21/06/2021,5
E12000001,North East,region,20/06/2021,1
E12000001,North East,region,19/06/2021,9
E12000001,North East,region,18/06/2021,1
E12000001,North East,region,17/06/2021,4
E12000001,North East,region,16/06/2021,3
E12000001,North East,region,15/06/2021,6
E12000001,North East,region,14/06/2021,3
E12000001,North East,region,13/06/2021,6
E12000001,North East,region,12/06/2021,3
E12000001,North East,region,11/06/2021,3
E12000001,North East,region,10/06/2021,9
E12000001,North East,region,09/06/2021,8
E12000001,North East,region,08/06/2021,4
E12000001,North East,region,07/06/2021,4
E12000001,North East,region,06/06/2021,1
E12000001,North East,region,05/06/2021,6
E12000001,North East,region,04/06/2021,3
E12000001,North East,region,03/06/2021,3
E12000001,North East,region,02/06/2021,2
E12000001,North East,region,01/06/2021,3
